viral_acc	virus_name	report_host	corrected_name	find_name	gcfs	new_gcf	assembly_category	assembly_level
NC_018832	Providencia phage Redjac	Providencia stuartii isolate MRSN 2154	Providencia stuartii isolate MRSN 2154	Providencia stuartii	['GCF_016128115.1', 'GCF_010320365.1', 'GCF_010669105.1', 'GCF_008693805.1', 'GCF_002983665.1', 'GCF_002947315.1', 'GCF_001558855.2', 'GCF_001888205.1', 'GCF_001558855.1', 'GCF_000754345.1', 'GCF_000259175.1', 'GCA_018128385.1']	GCF_016128115.1	Unreference	Complete Genome
NC_015293	Pseudoalteromonas phage H105/1	Pseudoalteromonas sp. H105	Pseudoalteromonas sp. H105	Pseudoalteromonas	['GCF_019797925.1', 'GCF_017742995.1', 'GCF_017638925.1', 'GCF_015209785.1', 'GCF_004328865.1', 'GCF_003668795.1', 'GCF_003568825.1', 'GCF_003515105.1', 'GCF_000238255.3', 'GCF_002310835.1', 'GCF_000238395.3', 'GCF_002310795.1', 'GCF_002221525.1', 'GCF_002221505.1', 'GCF_001999225.1', 'GCF_001444405.1', 'GCF_000788395.1', 'GCF_000026085.1']	GCF_019797925.1	Represent	Complete Genome
NC_031908	Pseudoalteromonas phage PH1	Pseudoalteromonas marina mano4	Pseudoalteromonas marina mano4	Pseudoalteromonas marina	['GCF_002407085.1']	GCF_002407085.1	Unreference	Complete Genome
NC_006548	Pseudomonas phage B3	Pseudomonas aeruginosa PAO1 (ATCC 15692)	Pseudomonas aeruginosa PAO1 (ATCC 15692)	Pseudomonas aeruginosa PAO1	['GCF_000006765.1']	GCF_000006765.1	Reference	Complete Genome
NC_042107	Pseudomonas phage NV1	Pseudomonas tolaasii NCPPB 2192	Pseudomonas tolaasii NCPPB 2192	Pseudomonas tolaasii	['GCF_019285655.1']	GCF_019285655.1	Unreference	Complete Genome
NC_030931	Pseudomonas phage phi2	Pseudomonas aeruginosa WH-SGI-V-07173	Pseudomonas aeruginosa WH-SGI-V-07173	Pseudomonas aeruginosa	['GCF_000006765.1']	GCF_000006765.1	Reference	Complete Genome
NC_030940	Pseudomonas phage phi3	Pseudomonas aeruginosa WH-SGI-V-07174	Pseudomonas aeruginosa WH-SGI-V-07174	Pseudomonas aeruginosa	['GCF_000006765.1']	GCF_000006765.1	Reference	Complete Genome
NC_023601	Pseudomonas phage phiPsa374	Pseudomonas syringae pv. actinidiae ICMP 18800	Pseudomonas syringae pv. actinidiae ICMP 18800	Pseudomonas syringae pv. actinidiae ICMP	['GCF_000344335.2', 'GCF_000648735.3', 'GCF_000344355.2', 'GCF_000648735.2']	GCF_000344335.2	Unreference	Complete Genome
NC_017864	Pseudomonas phage vB_Pae-Kakheti25	Pseudomonas aeruginosa PA25	Pseudomonas aeruginosa PA25	Pseudomonas aeruginosa	['GCF_000006765.1']	GCF_000006765.1	Reference	Complete Genome
NC_017865	Pseudomonas phage vB_Pae-TbilisiM32	Pseudomonas aeruginosa PA32	Pseudomonas aeruginosa PA32	Pseudomonas aeruginosa	['GCF_000006765.1']	GCF_000006765.1	Reference	Complete Genome
NC_031073	Pseudomonas phage vB_PaeM_MAG1	Pseudomonas aeruginosa PA31	Pseudomonas aeruginosa PA31	Pseudomonas aeruginosa	['GCF_000006765.1']	GCF_000006765.1	Reference	Complete Genome
NC_030934	Pseudomonas phage vB_PsyM_KIL1	Pseudomonas syringae pv. porri LMG 28495	Pseudomonas syringae pv. porri LMG 28495	Pseudomonas syringae	['GCF_016694755.2']	GCF_016694755.2	Represent	Complete Genome
NC_042054	Pseudomonas phage vB_PsyM_KIL4	Pseudomonas syringae pv. porri LMG 28495	Pseudomonas syringae pv. porri LMG 28495	Pseudomonas syringae	['GCF_016694755.2']	GCF_016694755.2	Represent	Complete Genome
NC_021560	Rhizobium phage RR1-A	Rhizobium radiobacter P007	Rhizobium radiobacter P007	Rhizobium radiobacter	['GCF_003667905.1']	GCF_003667905.1	Represent	Complete Genome
NC_021557	Rhizobium phage RR1-B	Rhizobium radiobacter P007	Rhizobium radiobacter P007	Rhizobium radiobacter	['GCF_003667905.1']	GCF_003667905.1	Represent	Complete Genome
NC_025429	Rhizobium phage vB_RleM_P10VF	Rhizobium leguminosarum biovar viciae VF39	Rhizobium leguminosarum biovar viciae VF39	Rhizobium leguminosarum biovar viciae	['GCF_021052345.1', 'GCF_010365265.1', 'GCF_002948295.1', 'GCF_002243365.1', 'GCF_002240185.1', 'GCF_000009265.1', 'GCA_014189655.1', 'GCA_014189575.1', 'GCA_014189555.1']	GCF_021052345.1	Unreference	Complete Genome
NC_042049	Rhodobacter phage RcCronus	Rhodobacter capsulatus YW1	Rhodobacter capsulatus YW1	Rhodobacter capsulatus	['GCF_000021865.1']	GCF_000021865.1	Represent	Complete Genome
NC_028954	Rhodobacter phage RcRhea	Rhodobacter capsulatus YW1	Rhodobacter capsulatus YW1	Rhodobacter capsulatus	['GCF_000021865.1']	GCF_000021865.1	Represent	Complete Genome
NC_041963	Rhodobacter phage RcSpartan	Rhodobacter capsulatus YW1	Rhodobacter capsulatus YW1	Rhodobacter capsulatus	['GCF_000021865.1']	GCF_000021865.1	Represent	Complete Genome
NC_029097	Rhodobacter phage RcTitan	Rhodobacter capsulatus YW1	Rhodobacter capsulatus YW1	Rhodobacter capsulatus	['GCF_000021865.1']	GCF_000021865.1	Represent	Complete Genome
NC_029061	Rhodoferax phage P26218	Rhodoferax sp. IMCC26218	Rhodoferax sp. IMCC26218	Rhodoferax	['GCF_006970865.1', 'GCF_001955735.1', 'GCF_001955715.1', 'GCF_001955695.1', 'GCF_000013605.1']	GCF_006970865.1	Represent	Complete Genome
NC_023589	Shigella phage pSb-1	Shigella boydii ATCC 35966	Shigella boydii ATCC 35966	Shigella boydii ATCC	['GCF_002946735.1', 'GCF_002950275.1', 'GCF_002950135.1', 'GCF_002950035.1', 'GCF_001027225.1']	GCF_002946735.1	Unreference	Complete Genome
NC_021331	Shigella phage pSf-1	Shigella flexneri ATCC 12022	Shigella flexneri ATCC 12022	Shigella flexneri ATCC	['GCF_002950215.1']	GCF_002950215.1	Unreference	Complete Genome
NC_026010	Shigella phage pSf-2	Shigella flexneri ATCC 12022	Shigella flexneri ATCC 12022	Shigella flexneri ATCC	['GCF_002950215.1']	GCF_002950215.1	Unreference	Complete Genome
NC_041927	Sphingobium phage Lacusarx	Sphingobium sp. IP1	Sphingobium sp. IP1	Sphingobium	['GCF_018286635.1', 'GCF_015074805.1', 'GCF_003967075.1', 'GCF_002504085.1', 'GCF_002355855.1', 'GCF_002288285.1', 'GCF_000264945.2']	GCF_018286635.1	Represent	Complete Genome
NC_021801	Staphylococcus phage SA12	Staphylococcus aureus ATCC 29213	Staphylococcus aureus ATCC 29213	Staphylococcus aureus ATCC	['GCF_003827735.1', 'GCF_006094915.1', 'GCF_002025145.1', 'GCF_000756205.1', 'GCA_003827835.1']	GCF_003827735.1	Unreference	Complete Genome
NC_029119	Staphylococcus phage SPbeta-like	Staphylococcus epidermidis 36-1	Staphylococcus epidermidis 36-1	Staphylococcus epidermidis	['GCF_006094375.1']	GCF_006094375.1	Represent	Complete Genome
NC_028821	Staphylococcus phage StB20-like	Staphylococcus epidermidis 36-1	Staphylococcus epidermidis 36-1	Staphylococcus epidermidis	['GCF_006094375.1']	GCF_006094375.1	Represent	Complete Genome
NC_024361	Streptococcus phage DCC1738	Streptococcus pneumoniae isolate DCC1738	Streptococcus pneumoniae isolate DCC1738	Streptococcus pneumoniae	['GCF_002076835.1']	GCF_002076835.1	Represent	Chromosome
NC_024370	Streptococcus phage IC1	Streptococcus pneumoniae isolate 9908+13028	Streptococcus pneumoniae isolate 9908+13028	Streptococcus pneumoniae	['GCF_002076835.1']	GCF_002076835.1	Represent	Chromosome
NC_022791	Streptococcus phage phiBHN167	Streptococcus pneumoniae BHN167	Streptococcus pneumoniae BHN167	Streptococcus pneumoniae	['GCF_002076835.1']	GCF_002076835.1	Represent	Chromosome
NC_019414	Streptomyces phage R4	Streptomyces coelicolor A3(2)	Streptomyces coelicolor A3(2)	Streptomyces coelicolor	['GCF_013317105.1', 'GCF_008931305.1', 'GCF_000203835.1', 'GCA_021654815.1']	GCF_013317105.1	Unreference	Complete Genome
NC_012696	Sulfitobacter phage EE36phi1	Sulfitobacter sp. EE-36	Sulfitobacter sp. EE-36	Sulfitobacter	['GCF_013347125.1', 'GCF_001886735.1']	GCF_013347125.1	Represent	Complete Genome
NC_006820	Synechococcus phage S-PM2	Synechococcus sp. SynWH7803	Synechococcus sp. SynWH7803	Synechococcus	['GCF_003957805.1']	GCF_003957805.1	Represent	Complete Genome
NC_020867	Synechococcus phage S-RIP1	Synechococcus sp. WH8101	Synechococcus sp. WH8101	Synechococcus	['GCF_003957805.1']	GCF_003957805.1	Represent	Complete Genome
NC_015281	Synechococcus phage S-ShM2	Synechococcus sp. WH8102	Synechococcus sp. WH8102	Synechococcus	['GCF_003957805.1']	GCF_003957805.1	Represent	Complete Genome
NC_015289	Synechococcus phage S-SSM5	Synechococcus sp. WH8102	Synechococcus sp. WH8102	Synechococcus	['GCF_003957805.1']	GCF_003957805.1	Represent	Complete Genome
NC_003390	Synechococcus virus P60	Synechococcus sp. WH7805	Synechococcus sp. WH7805	Synechococcus	['GCF_003957805.1']	GCF_003957805.1	Represent	Complete Genome
NC_042094	Vibrio phage Ceto	Vibrio harveyi BAA-1116	Vibrio harveyi BAA-1116	Vibrio harveyi	['GCF_000770115.1']	GCF_000770115.1	Represent	Complete Genome
NC_016567	Vibrio phage SIO-2	Vibrio sp. SWAT-3	Vibrio sp. SWAT-3	Vibrio	['GCF_019977755.1', 'GCF_019670485.1', 'GCF_001995825.2', 'GCF_014879975.1', 'GCF_014083925.1', 'GCF_009601765.2', 'GCF_011064285.1', 'GCF_010587385.1', 'GCF_009938185.1', 'GCF_009938225.1', 'GCF_009763765.1', 'GCF_009363415.1', 'GCF_008369605.1', 'GCF_006364355.1', 'GCF_005144905.1', 'GCF_002157735.2', 'GCF_003716875.1', 'GCF_002218045.2', 'GCF_001558415.2', 'GCF_002906475.1', 'GCF_002887615.1', 'GCF_900233005.1', 'GCF_002257545.1', 'GCF_002214395.1', 'GCF_002204915.1', 'GCF_002196515.1', 'GCF_002021755.1', 'GCF_001456255.1', 'GCF_000770115.1', 'GCF_001547935.1', 'GCF_000772105.1', 'GCF_000196095.1', 'GCF_000091465.1', 'GCF_000024825.1']	GCF_019977755.1	Represent	Complete Genome
NC_042095	Vibrio phage Thalassa	Vibrio harveyi BAA-1116	Vibrio harveyi BAA-1116	Vibrio harveyi	['GCF_000770115.1']	GCF_000770115.1	Represent	Complete Genome
NC_001271	Yersinia phage phiYeO3-12	Yersinia enterocolitica (type O:3)	Yersinia enterocolitica (type O:3)	Yersinia enterocolitica	['GCF_016727905.1', 'GCF_016727765.1', 'GCF_901472495.1', 'GCF_004368055.1', 'GCF_900637005.1', 'GCF_900635745.1', 'GCF_000597945.1', 'GCF_001708655.1', 'GCF_001708635.1', 'GCF_001708615.1', 'GCF_001708595.1', 'GCF_001708575.1', 'GCF_001708555.1', 'GCF_001304755.1', 'GCF_001305635.1', 'GCF_000987925.1', 'GCF_000968115.1', 'GCF_000834735.1', 'GCF_000834195.1', 'GCF_000253175.1', 'GCF_000192105.1', 'GCF_000009345.1', 'GCA_000597945.1']	GCF_016727905.1	Unreference	Complete Genome
NC_028655	Yersinia phage vB_YenP_AP10	Yersinia enterocolitica 6471/76-c serotype O:3	Yersinia enterocolitica 6471/76-c serotype O:3	Yersinia enterocolitica	['GCF_016727905.1', 'GCF_016727765.1', 'GCF_901472495.1', 'GCF_004368055.1', 'GCF_900637005.1', 'GCF_900635745.1', 'GCF_000597945.1', 'GCF_001708655.1', 'GCF_001708635.1', 'GCF_001708615.1', 'GCF_001708595.1', 'GCF_001708575.1', 'GCF_001708555.1', 'GCF_001304755.1', 'GCF_001305635.1', 'GCF_000987925.1', 'GCF_000968115.1', 'GCF_000834735.1', 'GCF_000834195.1', 'GCF_000253175.1', 'GCF_000192105.1', 'GCF_000009345.1', 'GCA_000597945.1']	GCF_016727905.1	Unreference	Complete Genome
NC_021336	Bacillus phage MG-B1	Bacillus weihenstephanensis MG1	Bacillus weihenstephanensis MG1	Bacillus weihenstephanensis	['GCF_018739485.1']	GCF_018739485.1	Represent	Complete Genome
KC821625	Cellulophaga phage phi13:1	Cellulophaga baltica 13	Cellulophaga baltica 13	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
CP008753	Burkholderia phage BEK	Burkholderia pseudomallei 9	Burkholderia pseudomallei 9	Burkholderia pseudomallei	['GCF_000756125.1']	GCF_000756125.1	Represent	Complete Genome
KC348602	Streptococcus phage phi891591	Streptococcus suis 89/1591	Streptococcus suis 89/1591	Streptococcus suis	['GCF_000026745.1']	GCF_000026745.1	Represent	Complete Genome
KF114876	Leptospira phage vB_LalZ_80412-LE1	Leptospira alstonii serovar Pingchang str. 80-412	Leptospira alstonii serovar Pingchang str. 80-412	Leptospira	['GCF_006874765.1', 'GCF_000306675.2', 'GCF_003722295.1', 'GCF_003516145.1', 'GCF_002073495.2', 'GCF_001729245.1', 'GCF_000313175.2', 'GCF_000017685.1']	GCF_006874765.1	Represent	Complete Genome
KF114877	Leptospira phage vB_LnoZ_CZ214-LE1	Leptospira noguchii serovar Panama str. CZ214	Leptospira noguchii serovar Panama str. CZ214	Leptospira	['GCF_006874765.1', 'GCF_000306675.2', 'GCF_003722295.1', 'GCF_003516145.1', 'GCF_002073495.2', 'GCF_001729245.1', 'GCF_000313175.2', 'GCF_000017685.1']	GCF_006874765.1	Represent	Complete Genome
KF114878	Leptospira phage vb_LkmZ_Bejolso9-LE1	Leptospira kmetyi serovar Malaysia str. Bejo-Iso9	Leptospira kmetyi serovar Malaysia str. Bejo-Iso9	Leptospira kmetyi	['GCF_003722295.1']	GCF_003722295.1	Represent	Complete Genome
KF114879	Leptospira phage vB_LbrZ_5399-LE1	Leptospira broomii serovar Hurstbridge str. 5399	Leptospira broomii serovar Hurstbridge str. 5399	Leptospira	['GCF_006874765.1', 'GCF_000306675.2', 'GCF_003722295.1', 'GCF_003516145.1', 'GCF_002073495.2', 'GCF_001729245.1', 'GCF_000313175.2', 'GCF_000017685.1']	GCF_006874765.1	Represent	Complete Genome
KF114880	Leptospira phage vB_LinZ_10-LE1	Leptospira inadai serovar Lyme str. 10	Leptospira inadai serovar Lyme str. 10	Leptospira	['GCF_006874765.1', 'GCF_000306675.2', 'GCF_003722295.1', 'GCF_003516145.1', 'GCF_002073495.2', 'GCF_001729245.1', 'GCF_000313175.2', 'GCF_000017685.1']	GCF_006874765.1	Represent	Complete Genome
NC_003158	Natrinema virus SNJ1	Natrinema sp. J7-1	Natrinema sp. J7-1	Natrinema	['GCF_005890195.1', 'GCF_000230735.2']	GCF_005890195.1	Represent	Complete Genome
