species	Count	Percent
Mycolicibacterium smegmatis	779	0.1818
Escherichia coli	450	0.105
Salmonella enterica	204	0.0476
Pseudomonas aeruginosa	183	0.0427
Lactococcus lactis	175	0.0408
Gordonia terrae	174	0.0406
Staphylococcus aureus	152	0.0355
-	151	0.0352
Klebsiella pneumoniae	122	0.0285
Enterococcus faecalis	82	0.0191
Cutibacterium acnes	81	0.0189
Vibrio cholerae	56	0.0131
Acinetobacter baumannii	50	0.0117
Microbacterium foliorum	39	0.0091
Erwinia amylovora	39	0.0091
Bacillus thuringiensis	35	0.0082
Ralstonia solanacearum	35	0.0082
Paenibacillus larvae	34	0.0079
Bacillus cereus	32	0.0075
Listeria monocytogenes	32	0.0075
Cellulophaga baltica	29	0.0068
Streptomyces griseus	28	0.0065
Vibrio parahaemolyticus	27	0.0063
Synechococcus sp. WH 7803	25	0.0058
Streptococcus pneumoniae	24	0.0056
Shigella flexneri	24	0.0056
Clostridioides difficile	22	0.0051
Aeromonas hydrophila	22	0.0051
Cronobacter sakazakii	20	0.0047
Streptococcus thermophilus	20	0.0047
Pseudomonas syringae	19	0.0044
Proteus mirabilis	19	0.0044
Lactococcus cremoris	19	0.0044
Clostridium perfringens	18	0.0042
Pectobacterium atrosepticum	17	0.004
Bacillus subtilis	17	0.004
Priestia megaterium	17	0.004
Burkholderia cenocepacia	17	0.004
Gordonia rubripertincta	16	0.0037
Pectobacterium carotovorum	16	0.0037
Citrobacter freundii	16	0.0037
Streptomyces lividans	16	0.0037
Vibrio harveyi	15	0.0035
Flavobacterium psychrophilum	15	0.0035
Sulfolobus islandicus	15	0.0035
Bacillus pumilus	15	0.0035
Caulobacter vibrioides	15	0.0035
Yersinia enterocolitica	15	0.0035
Lactiplantibacillus plantarum	14	0.0033
Shigella sonnei	14	0.0033
Ralstonia pseudosolanacearum	14	0.0033
Yersinia pestis	14	0.0033
Stenotrophomonas maltophilia	14	0.0033
Achromobacter xylosoxidans	14	0.0033
Staphylococcus epidermidis	13	0.003
Serratia marcescens	12	0.0028
Campylobacter jejuni	12	0.0028
Haloarcula hispanica	11	0.0026
Streptococcus suis	11	0.0026
Prochlorococcus marinus	11	0.0026
Burkholderia pseudomallei	11	0.0026
Enterobacter cloacae	11	0.0026
Pseudomonas fluorescens	11	0.0026
Rhodococcus erythropolis	11	0.0026
Dickeya solani	10	0.0023
Lactobacillus delbrueckii	10	0.0023
Mannheimia haemolytica	10	0.0023
Aeromonas salmonicida	10	0.0023
Vibrio alginolyticus	10	0.0023
Leuconostoc mesenteroides	9	0.0021
Streptomyces venezuelae	9	0.0021
Propionibacterium freudenreichii	9	0.0021
Xanthomonas campestris	9	0.0021
Rhizobium etli	9	0.0021
Streptococcus pyogenes	9	0.0021
Pseudomonas putida	9	0.0021
Ruegeria pomeroyi	9	0.0021
Lacticaseibacillus paracasei	8	0.0019
Leuconostoc pseudomesenteroides	8	0.0019
Enterococcus faecium	8	0.0019
Microbacterium paraoxydans	8	0.0019
Pantoea agglomerans	8	0.0019
Rhodococcus hoagii	8	0.0019
Bordetella bronchiseptica	8	0.0019
Clostridium tetani	8	0.0019
Faecalibacterium prausnitzii	8	0.0019
Yersinia pseudotuberculosis	7	0.0016
Staphylococcus pseudintermedius	7	0.0016
Streptomyces coelicolor	7	0.0016
Burkholderia cepacia	7	0.0016
Thermus thermophilus	7	0.0016
Xanthomonas oryzae	7	0.0016
Corynebacterium xerosis	7	0.0016
Citrobacter rodentium	6	0.0014
Levilactobacillus brevis	6	0.0014
Vibrio breoganii	6	0.0014
Corynebacterium vitaeruminis	6	0.0014
Synechococcus sp. WH 8109	6	0.0014
Rhodobacter capsulatus	6	0.0014
Sinorhizobium meliloti	6	0.0014
Edwardsiella tarda	5	0.0012
Agrobacterium tumefaciens	5	0.0012
Vibrio splendidus	5	0.0012
Salinibacter ruber	5	0.0012
Lacticaseibacillus casei	5	0.0012
Bacillus anthracis	4	0.0009
Oenococcus oeni	4	0.0009
Vibrio cyclitrophicus	4	0.0009
Brevibacillus laterosporus	4	0.0009
Aeropyrum pernix	4	0.0009
Candidatus Pelagibacter ubique	4	0.0009
Lactococcus garvieae	4	0.0009
Streptomyces griseofuscus	4	0.0009
Edwardsiella ictaluri	4	0.0009
Streptomyces scabiei	4	0.0009
Dinoroseobacter shibae	4	0.0009
Sulfitobacter sp. CB2047	4	0.0009
Klebsiella aerogenes	4	0.0009
Synechococcus sp. CB0101	4	0.0009
Helicobacter pylori	4	0.0009
Pseudoalteromonas marina	4	0.0009
Serratia sp. ATCC 39006	4	0.0009
Vibrio vulnificus	3	0.0007
Roseobacter denitrificans	3	0.0007
Xylella fastidiosa	3	0.0007
Mycobacteroides abscessus	3	0.0007
Saccharolobus solfataricus	3	0.0007
Brochothrix thermosphacta	3	0.0007
Burkholderia thailandensis	3	0.0007
Pseudomonas tolaasii	3	0.0007
Rhizobium leguminosarum	3	0.0007
Lacticaseibacillus rhamnosus	3	0.0007
Xanthomonas arboricola	3	0.0007
Providencia stuartii	3	0.0007
Streptococcus mutans	3	0.0007
Nodularia spumigena	3	0.0007
Shigella boydii	3	0.0007
Limosilactobacillus fermentum	3	0.0007
Bdellovibrio bacteriovorus	3	0.0007
Mycolicibacterium phlei	3	0.0007
Corynebacterium glutamicum	3	0.0007
Chlamydia psittaci	3	0.0007
Erwinia pyrifoliae	3	0.0007
Acinetobacter johnsonii	3	0.0007
Pasteurella multocida	3	0.0007
Lactobacillus gasseri	3	0.0007
Xanthomonas citri	3	0.0007
Klebsiella oxytoca	3	0.0007
Lactobacillus johnsonii	3	0.0007
Streptomyces avermitilis	3	0.0007
Vibrio coralliilyticus	2	0.0005
Flavobacterium columnare	2	0.0005
Vibrio natriegens	2	0.0005
Pseudomonas plecoglossicida	2	0.0005
Aggregatibacter actinomycetemcomitans	2	0.0005
Brucella abortus	2	0.0005
Acholeplasma laidlawii	2	0.0005
Haemophilus influenzae	2	0.0005
Geobacillus kaustophilus	2	0.0005
Sodalis glossinidius	2	0.0005
Burkholderia ambifaria	2	0.0005
Aeromonas rivipollensis	2	0.0005
Bacteroides fragilis	2	0.0005
Pectobacterium wasabiae	2	0.0005
Tsukamurella paurometabola	2	0.0005
Halobacterium salinarum	2	0.0005
Xanthomonas vesicatoria	2	0.0005
Fusobacterium nucleatum	2	0.0005
Shewanella putrefaciens	2	0.0005
Staphylococcus hominis	2	0.0005
Croceibacter atlanticus	2	0.0005
Streptococcus agalactiae	2	0.0005
Vibrio campbellii	2	0.0005
Clavibacter michiganensis	2	0.0005
Bifidobacterium asteroides	2	0.0005
Streptomyces platensis	2	0.0005
Leptospira biflexa	2	0.0005
Actinomyces naeslundii	2	0.0005
Sphingomonas paucimobilis	2	0.0005
Providencia rettgeri	2	0.0005
Cronobacter turicensis	2	0.0005
Erwinia tracheiphila	1	0.0002
Acidithiobacillus caldus	1	0.0002
Xanthomonas fragariae	1	0.0002
Microcystis aeruginosa	1	0.0002
Erysipelothrix rhusiopathiae	1	0.0002
Erwinia tasmaniensis	1	0.0002
Pseudomonas savastanoi	1	0.0002
Synechococcus sp. CBW1002	1	0.0002
Achromobacter spanius	1	0.0002
Staphylococcus xylosus	1	0.0002
Anoxybacillus caldiproteolyticus	1	0.0002
Staphylococcus saprophyticus	1	0.0002
Methanothermobacter thermautotrophicus	1	0.0002
Chlamydia abortus	1	0.0002
Weissella cibaria	1	0.0002
Streptococcus parauberis	1	0.0002
Nitratiruptor sp. SB155-2	1	0.0002
Paracoccus marcusii	1	0.0002
Rhodovulum sp. P5	1	0.0002
Nocardia brasiliensis	1	0.0002
Dickeya fangzhongdai	1	0.0002
Lactobacillus helveticus	1	0.0002
Agrobacterium fabacearum	1	0.0002
Rhizobium gallicum	1	0.0002
Parabacteroides merdae	1	0.0002
Chlamydia pneumoniae	1	0.0002
Bacteroides thetaiotaomicron	1	0.0002
Photobacterium damselae	1	0.0002
Burkholderia glumae	1	0.0002
Pyrococcus abyssi	1	0.0002
Delftia tsuruhatensis	1	0.0002
Mycobacterium avium	1	0.0002
Microbacterium oxydans	1	0.0002
Cronobacter malonaticus	1	0.0002
Riemerella anatipestifer	1	0.0002
Streptococcus equi	1	0.0002
Spiroplasma melliferum	1	0.0002
Brevibacterium aurantiacum	1	0.0002
Mycobacterium tuberculosis	1	0.0002
Butyrivibrio fibrisolvens	1	0.0002
Gordonia alkanivorans	1	0.0002
Acinetobacter pittii	1	0.0002
Pseudomonas agarici	1	0.0002
Azospirillum brasilense	1	0.0002
Vibrio owensii	1	0.0002
Celeribacter marinus	1	0.0002
Staphylococcus capitis	1	0.0002
Nostoc sp. PCC 7120 = FACHB-418	1	0.0002
Candidatus Azobacteroides pseudotrichonymphae	1	0.0002
Parabacteroides distasonis	1	0.0002
Serratia rubidaea	1	0.0002
Lactobacillus jensenii	1	0.0002
Spiroplasma citri	1	0.0002
Aeromonas media	1	0.0002
Tenacibaculum maritimum	1	0.0002
Xanthomonas euvesicatoria	1	0.0002
Shigella dysenteriae	1	0.0002
Eggerthella lenta	1	0.0002
Planktothrix agardhii	1	0.0002
Candidatus Liberibacter asiaticus	1	0.0002
Candidatus Hamiltonella defensa	1	0.0002
Acinetobacter soli	1	0.0002
Ralstonia pickettii	1	0.0002
Nitrososphaera viennensis	1	0.0002
Edwardsiella anguillarum	1	0.0002
Acidovorax citrulli	1	0.0002
Rhodococcus opacus	1	0.0002
Rhodococcus rhodochrous	1	0.0002
Pseudomonas chlororaphis	1	0.0002
Streptococcus salivarius	1	0.0002
Pseudoalteromonas atlantica	1	0.0002
Staphylococcus haemolyticus	1	0.0002
Enterobacter cancerogenus	1	0.0002
Sulfolobus sp. A20	1	0.0002
Rhodococcus globerulus	1	0.0002
Thermoproteus tenax	1	0.0002
Streptococcus mitis	1	0.0002
Aliivibrio fischeri	1	0.0002
Acidianus brierleyi	1	0.0002
Rhodothermus marinus	1	0.0002
Geobacillus stearothermophilus	1	0.0002
Sinomonas atrocyanea	1	0.0002
Citrobacter amalonaticus	1	0.0002
Leclercia adecarboxylata	1	0.0002
Halorubrum sp. PV6	1	0.0002
Proteus penneri	1	0.0002
Thermoanaerobacterium saccharolyticum	1	0.0002
Marinomonas mediterranea	1	0.0002
Pyrobaculum arsenaticum	1	0.0002
Mycoplasma arthritidis	1	0.0002
Parageobacillus thermoglucosidasius	1	0.0002
Streptococcus dysgalactiae	1	0.0002
Alteromonas mediterranea	1	0.0002
Natrialba magadii	1	0.0002
Raoultella ornithinolytica	1	0.0002
Kitasatospora aureofaciens	1	0.0002
Pseudoalteromonas phenolica	1	0.0002
Glaesserella parasuis	1	0.0002
Paenibacillus glucanolyticus	1	0.0002
Salinivibrio costicola	1	0.0002
Vibrio anguillarum	1	0.0002
Clostridium sporogenes	1	0.0002
Burkholderia gladioli	1	0.0002
Morganella morganii	1	0.0002
Clostridium tyrobutyricum	1	0.0002
Clostridium botulinum	1	0.0002
Spiroplasma kunkelii	1	0.0002
Bacteroides xylanisolvens	1	0.0002
Staphylococcus pasteuri	1	0.0002
Bacteroides intestinalis	1	0.0002
Enterobacter asburiae	1	0.0002
Candidatus Puniceispirillum marinum	1	0.0002
Myxococcus xanthus	1	0.0002
Streptococcus gordonii	1	0.0002
Mesorhizobium loti	1	0.0002
Bacillus mycoides	1	0.0002
Bacillus velezensis	1	0.0002
Delftia acidovorans	1	0.0002
Streptococcus oralis	1	0.0002
Halorubrum sodomense	1	0.0002
Haloarcula sinaiiensis	1	0.0002