order	Count	Percent
Enterobacterales	1097	0.2559
Corynebacteriales	1068	0.2492
Lactobacillales	449	0.1048
Bacillales	403	0.094
Pseudomonadales	234	0.0546
Vibrionales	138	0.0322
Burkholderiales	120	0.028
Propionibacteriales	90	0.021
Streptomycetales	74	0.0173
Eubacteriales	60	0.014
Moraxellales	60	0.014
Micrococcales	52	0.0121
Synechococcales	52	0.0121
Flavobacteriales	50	0.0117
Xanthomonadales	45	0.0105
Aeromonadales	39	0.0091
Hyphomicrobiales	39	0.0091
Rhodobacterales	29	0.0068
Sulfolobales	23	0.0054
Pasteurellales	18	0.0042
Alteromonadales	16	0.0037
Campylobacterales	16	0.0037
Caulobacterales	15	0.0035
Halobacteriales	14	0.0033
Bacteroidales	8	0.0019
Thermales	7	0.0016
Bacteroidetes Order II. Incertae sedis	6	0.0014
Chlamydiales	6	0.0014
Desulfurococcales	5	0.0012
Pelagibacterales	4	0.0009
Entomoplasmatales	4	0.0009
Nostocales	4	0.0009
-	3	0.0007
Thermoproteales	3	0.0007
Bdellovibrionales	3	0.0007
Bifidobacteriales	2	0.0005
Leptospirales	2	0.0005
Haloferacales	2	0.0005
Actinomycetales	2	0.0005
Sphingomonadales	2	0.0005
Mycoplasmatales	2	0.0005
Acholeplasmatales	2	0.0005
Fusobacteriales	2	0.0005
Myxococcales	1	0.0002
Eggerthellales	1	0.0002
Methanobacteriales	1	0.0002
Rhodospirillales	1	0.0002
Pseudanabaenales	1	0.0002
Oceanospirillales	1	0.0002
Thermoanaerobacterales	1	0.0002
Natrialbales	1	0.0002
Nautiliales	1	0.0002
Chroococcales	1	0.0002
Erysipelotrichales	1	0.0002
Nitrososphaerales	1	0.0002
Acidithiobacillales	1	0.0002
Thermococcales	1	0.0002
Oscillatoriales	1	0.0002
	1	0.0002