family	Count	Percent
Enterobacteriaceae	905	0.2112
Mycobacteriaceae	834	0.1946
Streptococcaceae	278	0.0649
Pseudomonadaceae	234	0.0546
Gordoniaceae	191	0.0446
Staphylococcaceae	179	0.0418
Bacillaceae	149	0.0348
Vibrionaceae	138	0.0322
Burkholderiaceae	94	0.0219
Enterococcaceae	91	0.0212
Propionibacteriaceae	90	0.021
Lactobacillaceae	80	0.0187
Streptomycetaceae	74	0.0173
Moraxellaceae	60	0.014
Yersiniaceae	55	0.0128
Erwiniaceae	53	0.0124
Microbacteriaceae	50	0.0117
Flavobacteriaceae	49	0.0114
Pectobacteriaceae	46	0.0107
Xanthomonadaceae	45	0.0105
Paenibacillaceae	39	0.0091
Aeromonadaceae	39	0.0091
Synechococcaceae	37	0.0086
Listeriaceae	35	0.0082
Rhizobiaceae	29	0.0068
Clostridiaceae	29	0.0068
Morganellaceae	26	0.0061
Sulfolobaceae	23	0.0054
Nocardiaceae	23	0.0054
Alcaligenaceae	23	0.0054
Peptostreptococcaceae	22	0.0051
Roseobacteraceae	21	0.0049
Pasteurellaceae	18	0.0042
Corynebacteriaceae	16	0.0037
Caulobacteraceae	15	0.0035
Prochlorococcaceae	15	0.0035
Campylobacteraceae	12	0.0028
Haloarculaceae	12	0.0028
Hafniaceae	10	0.0023
Brucellaceae	9	0.0021
Oscillospiraceae	8	0.0019
Rhodobacteraceae	8	0.0019
Thermaceae	7	0.0016
Pseudoalteromonadaceae	7	0.0016
-	6	0.0014
Chlamydiaceae	6	0.0014
Rhodothermaceae	6	0.0014
Desulfurococcaceae	5	0.0012
Bacteroidaceae	5	0.0012
Alteromonadaceae	5	0.0012
Spiroplasmataceae	4	0.0009
Helicobacteraceae	4	0.0009
Pelagibacteraceae	4	0.0009
Bdellovibrionaceae	3	0.0007
Shewanellaceae	3	0.0007
Thermoproteaceae	3	0.0007
Aphanizomenonaceae	3	0.0007
Comamonadaceae	3	0.0007
Acholeplasmataceae	2	0.0005
Halorubraceae	2	0.0005
Actinomycetaceae	2	0.0005
Bifidobacteriaceae	2	0.0005
Tsukamurellaceae	2	0.0005
Leptospiraceae	2	0.0005
Bruguierivoracaceae	2	0.0005
Fusobacteriaceae	2	0.0005
Halobacteriaceae	2	0.0005
Mycoplasmataceae	2	0.0005
Sphingomonadaceae	2	0.0005
	2	0.0005
Tannerellaceae	2	0.0005
Microcystaceae	1	0.0002
Nostocaceae	1	0.0002
Nitrososphaeraceae	1	0.0002
Acidithiobacillaceae	1	0.0002
Eggerthellaceae	1	0.0002
Erysipelotrichaceae	1	0.0002
Oceanospirillaceae	1	0.0002
Thermococcaceae	1	0.0002
Colwelliaceae	1	0.0002
Micrococcaceae	1	0.0002
Microcoleaceae	1	0.0002
Thermoanaerobacterales Family III. Incertae Sedis	1	0.0002
Brevibacteriaceae	1	0.0002
Myxococcaceae	1	0.0002
Phyllobacteriaceae	1	0.0002
Weeksellaceae	1	0.0002
Nitratiruptoraceae	1	0.0002
Methanobacteriaceae	1	0.0002
Lachnospiraceae	1	0.0002
Azospirillaceae	1	0.0002
Leptolyngbyaceae	1	0.0002
Natrialbaceae	1	0.0002