genus	Count	Percent
Mycolicibacterium	822	0.1918
Escherichia	455	0.1062
Pseudomonas	234	0.0546
Salmonella	204	0.0476
Lactococcus	202	0.0471
Gordonia	191	0.0446
Staphylococcus	179	0.0418
Vibrio	135	0.0315
Klebsiella	129	0.0301
Bacillus	126	0.0294
Enterococcus	91	0.0212
Cutibacterium	81	0.0189
Streptococcus	76	0.0177
Streptomyces	73	0.017
Acinetobacter	60	0.014
Ralstonia	50	0.0117
Microbacterium	48	0.0112
Shigella	46	0.0107
Erwinia	45	0.0105
Burkholderia	44	0.0103
Aeromonas	39	0.0091
Yersinia	38	0.0089
Synechococcus	37	0.0086
Pectobacterium	35	0.0082
Paenibacillus	35	0.0082
Listeria	32	0.0075
Cellulophaga	29	0.0068
Clostridium	29	0.0068
Xanthomonas	26	0.0061
Cronobacter	25	0.0058
Citrobacter	23	0.0054
Rhodococcus	22	0.0051
Clostridioides	22	0.0051
-	22	0.0051
Proteus	20	0.0047
Lactobacillus	18	0.0042
Flavobacterium	17	0.004
Priestia	17	0.004
Leuconostoc	17	0.004
Serratia	17	0.004
Corynebacterium	16	0.0037
Lacticaseibacillus	16	0.0037
Sulfolobus	16	0.0037
Caulobacter	15	0.0035
Achromobacter	15	0.0035
Lactiplantibacillus	15	0.0035
Stenotrophomonas	14	0.0033
Rhizobium	13	0.003
Enterobacter	13	0.003
Campylobacter	12	0.0028
Prochlorococcus	12	0.0028
Haloarcula	12	0.0028
Dickeya	11	0.0026
Edwardsiella	10	0.0023
Mannheimia	10	0.0023
Brucella	9	0.0021
Propionibacterium	9	0.0021
Ruegeria	9	0.0021
Bordetella	8	0.0019
Faecalibacterium	8	0.0019
Pantoea	8	0.0019
Thermus	7	0.0016
Pseudoalteromonas	7	0.0016
Sinorhizobium	7	0.0016
Agrobacterium	6	0.0014
Rhodobacter	6	0.0014
Chlamydia	6	0.0014
Levilactobacillus	6	0.0014
Alteromonas	5	0.0012
Bacteroides	5	0.0012
Aeropyrum	5	0.0012
Providencia	5	0.0012
Salinibacter	5	0.0012
Xylella	5	0.0012
Saccharolobus	4	0.0009
Oenococcus	4	0.0009
Dinoroseobacter	4	0.0009
Sulfitobacter	4	0.0009
Spiroplasma	4	0.0009
Brevibacillus	4	0.0009
Candidatus Pelagibacter	4	0.0009
Helicobacter	4	0.0009
Bdellovibrio	3	0.0007
Liberibacter	3	0.0007
Shewanella	3	0.0007
Nodularia	3	0.0007
Mycobacteroides	3	0.0007
Geobacillus	3	0.0007
Brochothrix	3	0.0007
Limosilactobacillus	3	0.0007
Pasteurella	3	0.0007
Roseobacter	3	0.0007
Parasynechococcus	3	0.0007
Parabacteroides	2	0.0005
Mycobacterium	2	0.0005
Delftia	2	0.0005
Acholeplasma	2	0.0005
Aggregatibacter	2	0.0005
Bifidobacterium	2	0.0005
Actinomyces	2	0.0005
Acidianus	2	0.0005
Halorubrum	2	0.0005
Thermoproteus	2	0.0005
Sodalis	2	0.0005
Clavibacter	2	0.0005
Fusobacterium	2	0.0005
Tsukamurella	2	0.0005
Croceibacter	2	0.0005
Haemophilus	2	0.0005
Halobacterium	2	0.0005
Leptospira	2	0.0005
Sphingomonas	2	0.0005
Kitasatospora	1	0.0002
Nitrososphaera	1	0.0002
Riemerella	1	0.0002
Natrialba	1	0.0002
Nostoc	1	0.0002
Mycoplasmopsis	1	0.0002
Erysipelothrix	1	0.0002
Brevibacterium	1	0.0002
Aliivibrio	1	0.0002
Pyrococcus	1	0.0002
Rhodothermus	1	0.0002
Candidatus Hamiltonella	1	0.0002
Mycoplasma	1	0.0002
Raoultella	1	0.0002
Acidithiobacillus	1	0.0002
Anoxybacillus	1	0.0002
Leclercia	1	0.0002
Leptolyngbya	1	0.0002
Sinomonas	1	0.0002
Marinomonas	1	0.0002
Glaesserella	1	0.0002
Butyrivibrio	1	0.0002
Celeribacter	1	0.0002
Azospirillum	1	0.0002
Morganella	1	0.0002
Nitratiruptor	1	0.0002
Mesorhizobium	1	0.0002
Nocardia	1	0.0002
Thermoanaerobacterium	1	0.0002
Acidovorax	1	0.0002
Eggerthella	1	0.0002
Rhodovulum	1	0.0002
Candidatus Azobacteroides	1	0.0002
Salinivibrio	1	0.0002
Paracoccus	1	0.0002
Planktothrix	1	0.0002
Tenacibaculum	1	0.0002
Photobacterium	1	0.0002
Candidatus Puniceispirillum	1	0.0002
Parageobacillus	1	0.0002
Myxococcus	1	0.0002
Microcystis	1	0.0002
Pyrobaculum	1	0.0002
Weissella	1	0.0002
Methanothermobacter	1	0.0002
Colwellia	1	0.0002