virus_name	viral_acc	report_host	evidence	host_taxid	host_lineage	host_tax_rank	find_name	gcfs	new_gcf	assembly_category	assembly_level
Acholeplasma phage MV-L51	NC_001341	Literature, RefSeq	Acholeplasma laidlawii	2148	Bacteria; Terrabacteria group; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	species	Acholeplasma laidlawii	['GCF_900476025.1', 'GCF_000018785.1']	GCF_900476025.1	Unreference	Complete Genome
Acholeplasma virus L2	NC_001447	Literature, NCBI Virus, RefSeq	Acholeplasma laidlawii	2148	Bacteria; Terrabacteria group; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	species	Acholeplasma laidlawii	['GCF_900476025.1', 'GCF_000018785.1']	GCF_900476025.1	Unreference	Complete Genome
Achromobacter phage 83-24	NC_028834	Literature, RefSeq	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage JWAlpha	NC_023556	Literature, RefSeq	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage JWDelta	KF787094	Literature, NCBI Virus, RefSeq	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage JWF	NC_029075	Literature, NCBI Virus, RefSeq	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage JWX	NC_028768	Literature, RefSeq	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage Mano	NC_054147	Literature	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage Motura	NC_049849	RefSeq	Achromobacter animicus	1389935	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter	['GCF_013267375.1', 'GCF_008432465.1', 'GCF_008245125.1', 'GCF_900636675.1', 'GCF_019968625.1']	GCF_013267375.1	Represent	Complete Genome
Achromobacter phage phiAxp-1	NC_029033	Literature, NCBI Virus, RefSeq	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage phiAxp-2	NC_029106	Literature, NCBI Virus, RefSeq	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage phiAxp-3	NC_028908	RefSeq	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage vB_AchrS_AchV4	NC_052974	Literature	Achromobacter spanius	217203	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter spanius	['GCF_900636675.1']	GCF_900636675.1	Represent	Complete Genome
Achromobacter phage vB_AxyP_19-32_Axy04	NC_054967	Literature, RefSeq	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage vB_AxyP_19-32_Axy10	NC_054971	Literature, RefSeq	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage vB_AxyP_19-32_Axy11	NC_054972	Literature, RefSeq	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage vB_AxyP_19-32_Axy12	NC_054968	Literature, RefSeq	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage vB_AxyP_19-32_Axy24	NC_054969	Literature, RefSeq	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Acidianus bottle-shaped virus	NC_009452	RefSeq, UniProt	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 1	NC_005830	NCBI Virus, RefSeq, UniProt	Acidianus infernus	12915	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 1	NC_005830	UniProt	Acidianus hospitalis	563177	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus hospitalis	['GCF_000213215.1']	GCF_000213215.1	Represent	Complete Genome
Acidianus filamentous virus 2	NC_009884	NCBI Virus, RefSeq	Acidianus pozzuoliensis	314564	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 2	NC_009884	UniProt	Acidianus sp. F28	315458	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 3	NC_010155	Literature	Acidianus sp. Acii25	315461	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 6	NC_010152	NCBI Virus, RefSeq	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 7	NC_010153	NCBI Virus, RefSeq	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 8	NC_010154	NCBI Virus, RefSeq	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 9	NC_010537	Literature	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 9	NC_010537	Literature, NCBI Virus, RefSeq	Acidianus uzoniensis	518068	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus rod-shaped virus 1	NC_009965	RefSeq	Acidianus sp. Acii26	315460	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus spindle-shaped virus 1	NC_013585	Literature, NCBI Virus, RefSeq	Acidianus brierleyi	41673	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus brierleyi	['GCF_003201835.2']	GCF_003201835.2	Represent	Complete Genome
Acidianus two-tailed virus	NC_007409	NCBI Virus, RefSeq, UniProt	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidithiobacillus phage AcaML1	JX507079	Literature, NCBI Virus, RefSeq	Acidithiobacillus caldus ATCC 51756	637389	Bacteria; Proteobacteria; Acidithiobacillia; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus; Acidithiobacillus caldus	strain	Acidithiobacillus caldus ATCC 51756	['GCF_000175575.2']	GCF_000175575.2	Unreference	Complete Genome
Acidovorax phage ACP17	NC_041997	Literature, RefSeq	Acidovorax citrulli	80869	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax	species	Acidovorax citrulli	['GCF_001593665.2']	GCF_001593665.2	Represent	Complete Genome
Acinetobacter phage AB1	NC_042028	Literature, RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage AbKT21phiIII	NC_048142	Literature, RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage Abp1	NC_021316	RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage AbP2	NC_041998	Literature, RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage AbTZA1	NC_049445	Literature, RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage Acj61	NC_014661	Literature, RefSeq	Acinetobacter johnsonii	40214	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	species	Acinetobacter johnsonii	['GCF_021496365.1', 'GCF_021496345.1', 'GCF_021496325.1', 'GCF_021496295.1', 'GCF_021432745.1', 'GCF_020162195.1', 'GCF_003939325.2', 'GCF_019334405.1', 'GCF_017068175.1', 'GCF_016728805.1', 'GCF_016726625.1', 'GCF_016725945.1', 'GCF_016027055.1', 'GCF_015602645.1', 'GCF_008180305.1', 'GCF_004337595.1', 'GCF_003952785.1', 'GCF_003335165.1', 'GCF_001484935.1']	GCF_021496365.1	Unreference	Complete Genome
Acinetobacter phage Acj9	NC_014663	Literature, RefSeq	Acinetobacter johnsonii	40214	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	species	Acinetobacter johnsonii	['GCF_021496365.1', 'GCF_021496345.1', 'GCF_021496325.1', 'GCF_021496295.1', 'GCF_021432745.1', 'GCF_020162195.1', 'GCF_003939325.2', 'GCF_019334405.1', 'GCF_017068175.1', 'GCF_016728805.1', 'GCF_016726625.1', 'GCF_016725945.1', 'GCF_016027055.1', 'GCF_015602645.1', 'GCF_008180305.1', 'GCF_004337595.1', 'GCF_003952785.1', 'GCF_003335165.1', 'GCF_001484935.1']	GCF_021496365.1	Unreference	Complete Genome
Acinetobacter phage AM101	NC_049511	RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage AP205	NC_002700	Literature, RefSeq	Acinetobacter genomosp. 16BJ	70347	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	species	Acinetobacter	['GCF_000191145.1']	GCF_000191145.1	Reference	Complete Genome
Acinetobacter phage AP22	NC_017984	RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage Fri1	NC_028848	RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage IME-200	NC_028987	RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage IMEAB3	NC_023590	RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage KARL-1	NC_049441	Literature, RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage Loki	NC_042137	Literature	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage Loki	NC_042137	Literature	Acinetobacter lwoffii	28090	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	species	Acinetobacter lwoffii	['GCF_019343495.1']	GCF_019343495.1	Represent	Complete Genome
Acinetobacter phage Loki	NC_042137	Literature	Acinetobacter baylyi ADP1	62977	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter baylyi	strain	Acinetobacter baylyi ADP1	['GCF_000046845.1']	GCF_000046845.1	Represent	Complete Genome
Acinetobacter phage Loki	NC_042137	Literature, RefSeq	Acinetobacter baumannii ATCC 17978	400667	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex; Acinetobacter baumannii	strain	Acinetobacter baumannii ATCC 17978	['GCF_013372085.1', 'GCF_004797155.2', 'GCF_004797155.1', 'GCF_000015425.1', 'GCF_004794235.2', 'GCF_004794275.2', 'GCF_004794275.1', 'GCF_004794235.1']	GCF_013372085.1	Unreference	Complete Genome
Acinetobacter phage LZ35	NC_031117	Literature, RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage Petty	NC_023570	RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage phiAB1	NC_028675	Literature, RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage phiAB6	NC_031086	Literature, RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage phiAC-1	NC_028995	Literature, NCBI Virus, RefSeq	Acinetobacter soli	487316	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	species	Acinetobacter soli	['GCF_018139125.1']	GCF_018139125.1	Represent	Complete Genome
Acinetobacter phage Presley	NC_023581	Literature, RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage SH-Ab 15519	NC_041905	Literature, RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage SWH-Ab-1	NC_047896	RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage SWH-Ab-3	NC_047883	RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage vB_AbaM-IME-AB2	NC_041857	Literature, RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage vB_AbaM_Acibel004	NC_025462	NCBI Virus, RefSeq	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
